sku,name,description,price,terms,section,image_downloads
272145190-250-2,BASIC PUFFER JACKET,Puffer jacket made of tear-resistant ripstop fabric. High collar and adjustable long sleeves with adhesive straps. Welt pockets at hip. Adjustable hem with side elastics. Front zip closure.,19.99,jackets,MAN,"['e8e4ae57-8b72-44ff-aa5d-84de3ed37d9e', '0cb3791f-ebc3-4311-ae9b-39688130a258', '6831411d-91a5-458d-b6eb-8657ac66ce12', '184c9f8e-4765-4270-a048-27cdf64b32ce', '037c90a2-abef-400b-be2b-a50fa1d40f20', 'f248a6fd-a8ad-4d45-8ff2-cc8af4302c8a', '1ca4fce1-d4c2-4dce-9dd0-33125377a943', 'cd47d226-c738-485e-9fb2-730108c8c5e8']"
324052738-800-46,TUXEDO JACKET,Straight fit blazer. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pockets at hip and interior pocket. Central back vent at hem. Front button closure.,169.0,jackets,MAN,"['b42b0725-cfe2-4748-af3e-3abe590d83cd', 'ed9c6818-89d4-41ce-818d-ffd8d31790f7', '7543f196-b03a-463f-af90-e85a25186b94', '7f27af73-8085-486c-9dd0-69a7471f3370', '3ae39a7d-cc00-4a0e-900a-81bd3b4dda51', '920069d2-79a3-44f0-af3b-45ea651b781c', '349bfdb3-6fd2-43fc-8bfd-62f7727e046f', 'c71e12f6-16a1-4eea-9b2e-9ad76f892137', '2b2d9255-1896-4947-b56e-abf103b8ccc5', '65e9ebc3-0d74-4f85-ac50-17e5371b9b84']"
335342680-800-44,SLIM FIT SUIT JACKET,Slim fit jacket. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN,"['c27bdddf-2f9c-4693-976f-0d1272212c12', '07e60806-16ed-465a-b19b-2d4bd072e6a6', '4f1cc647-7fc1-4609-a9c6-20dfc78519a0', 'ad3c4d82-3248-4e55-acc4-e892d22b790c', '2b19a55a-d734-4e96-a000-a4932760e522', '6a3e4e3d-4a80-4b5f-bded-a79f6ec8c0a6', 'fb1ed456-2bb1-4568-b01c-a13f06d1b2a9', 'be2f2dbb-ab90-45bb-8f7f-f1045d4ad935', 'c6bd7230-2d78-4a69-88e4-5bf6fa2e917d']"
328303236-420-44,STRETCH SUIT JACKET,Slim fit jacket made of viscose blend fabric. Notched lapel collar. Long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,129.0,jackets,MAN,"['0cbc84c8-f9ff-4f02-940c-ff642b5af379', 'dd47d7b2-9abd-4093-a7f0-a6fea82d7388', '1f854366-249e-4ed4-8698-f801fa0a47f3', 'bfbdcc43-0d1a-4cda-ad73-6cedaa52ab06', '66767631-b7d0-48ce-b9df-5110f2309c80', '8ca15430-65a6-41bc-8af7-8efeacff47b0', '5a982740-ed82-4fd3-84ce-520be79d58e7', '5dc3c479-64fc-4ac9-93bb-f9d049446b16', '4c2799af-93aa-42a3-a688-94380c134feb']"
312368260-800-2,DOUBLE FACED JACKET,Jacket made of faux leather faux shearling with fleece interior. Tabbed lapel collar. Long sleeves. Zip pockets at hip. Front zip closure.,139.0,jackets,MAN,"['1ccc9c87-49c9-4825-9d67-4c1f61e5db1f', '1349486b-bd29-455e-9a09-6ab287428d14', '65781e3f-7463-43a8-9af1-5b7e35a30000', '981cf3db-da85-4533-9a54-4229777be734', '73e75dd6-6ee5-4c17-a835-53f6adac7b78', 'cc982f92-d765-4f35-9ae6-3cea7a9a8756', '47a85a6d-0340-439e-ae60-19656470d71c', 'bfcc400d-b642-4508-bd1a-121e4dffee6f', '17d625e2-82f1-40c1-b3d8-cd873ffead0a']"
320298385-807-2,CONTRASTING COLLAR JACKET,Relaxed fit jacket. Contrasting lapel collar and long sleeves with buttoned cuffs. Front pouch pockets. Interior pocket. Washed effect. Front zip closure.,79.9,jackets,MAN,"['d747f1a2-86d6-4998-9a3f-9ec95f7da1aa', 'e2ea6d47-099f-4003-87b8-bd21101d7f89', 'f9d9ae2a-d0ee-405a-9019-012aebeaabc6', '893a96a1-35e6-424b-9a1e-d5577d0adf55', 'd2397f93-6e68-43a3-b9a1-18b1fcc9750a', '3d9d1b68-0e07-4da3-af1c-d85345599ece', '70f97d62-709d-4699-9d42-4a3e2fd41718', '332622a1-379a-46e0-8d37-8b20980b5fb3', 'a8ca3ed4-b7fb-4b70-8757-10456bf32236']"
278112470-800-2,FAUX LEATHER PUFFER JACKET,Faux leather puffer jacket. High collar and long sleeves with ribbed interior cuffs. Welt pockets at hip. Interior pocket. Adjustable hem with side elastics. Front zip closure.,69.99,jackets,MAN,"['a54505fa-d2ba-4268-904e-09dff1abe5d9', 'd8fd6412-0d3b-4847-b924-a12ec941e061', '95c5aab0-8cab-42d8-abf4-4d41ec5ee443', '4d70869d-a999-45bb-8eb8-5e024edf9a2b', 'ec3f08da-4dea-49ef-b71f-14f2c0669f43', '2ac9b234-54f3-4c7c-9a56-16d43180df96', '05eea949-e395-4021-824b-bad80aedcba8', '09784f40-f643-407f-8556-d4db3646ab14']"
322972485-431-46,SUIT JACKET IN 100% LINEN,Straight fit blazer made of linen. Notched lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,159.0,jackets,MAN,"['b5dda852-d59e-4928-ae54-97c2bdb7068b', '77e695ec-f7f1-4ab6-92e1-894efffdaf4b', '29e6114d-cf2d-4bbe-91b6-69f098b9203d', 'ea6d9cc3-e4e7-4977-b9c5-ca2147a9753c', '238d820b-358c-4f4e-9d73-24db79df5c6d', '7dff8709-6a96-43d1-aa8b-13440a713873', 'a6ba695a-7382-4a2b-b5a4-c16e44989c4a', '71853fba-8357-4b5e-886e-d0dcfecc077b']"
313854165-401-46,100% WOOL SUIT JACKET,Jacket made of Italian wool. Pointed lapel collar and long sleeves with buttoned cuffs. Welt pocket at chest and flap pockets at hip. Interior pocket. Back vents. Front button closure.,169.0,jackets,MAN,"['3b5e1419-e14d-4f96-8f4c-361c584fb4a1', '85e9699e-a9e3-4ec9-acf1-a5b5558ecc11', '2a0f6dbd-877c-44ff-ba64-22b48fcf6e9a', '39cd6724-7893-4313-addb-fefa3abb8929', 'bc0d817d-1393-4894-b026-8341fc0c5daf', 'e5896fd6-17e9-4971-9a85-2df2b9402d71', '1db0e1a1-f5ab-4dd5-a00b-84d5be46eb55', 'a1e76ed1-71a6-4d8a-85a2-e907090cf54e', 'dea83d8a-e1a1-4f44-a50f-5c4fdf8c065d']"
312372602-800-2,100% FEATHER FILL PUFFER JACKET,Puffer jacket made of shiny finish technical fabric. Fill is a blend of 80% down and 20% feathers. High collar with adjustable hood and long sleeves with elastic cuffs. Welt pockets at hip and interior pocket. Adjustable hem with side elastics. Front zip closure.,169.0,jackets,MAN,"['7c7a97ab-39e2-416d-8617-e13a34c05b99', '574b69a7-ee8a-4a47-820c-cb539131ef6d', '0ab78894-cfc7-4cfa-8b78-40cb8f0979af', '38d1c399-d6a5-4243-bb5a-e8c154fae725', '14085b49-3995-453a-9806-015847614e2b', '2af08b6d-a60a-4350-aa4e-2f901eb9f709', '10099068-1186-4bc9-9641-b68d2a2914a6', 'fde523dc-a9d3-4016-a10c-9155ce947e96', '72c957bf-1d03-478e-8303-80b843d47a21']"
